areaType,areaName,areaCode,date,newPillarOneTestsByPublishDate,cumPillarOneTestsByPublishDate
nation,England,E92000001,2020-09-02,41192,4972882
nation,England,E92000001,2020-09-01,31938,4931821
nation,England,E92000001,2020-08-31,35466,4899883
nation,England,E92000001,2020-08-30,37698,4864417
nation,England,E92000001,2020-08-29,45353,4826719
nation,England,E92000001,2020-08-28,45849,4781366
nation,England,E92000001,2020-08-27,50486,4735127
nation,England,E92000001,2020-08-26,50386,4683254
nation,England,E92000001,2020-08-25,37099,4632699
nation,England,E92000001,2020-08-24,35026,4595587
nation,England,E92000001,2020-08-23,43402,4559949
nation,England,E92000001,2020-08-22,47642,4516547
nation,England,E92000001,2020-08-21,47689,4468905
nation,England,E92000001,2020-08-20,51791,4420405
nation,England,E92000001,2020-08-19,50560,4368643
nation,England,E92000001,2020-08-18,36880,4318074
nation,England,E92000001,2020-08-17,35032,4281176
nation,England,E92000001,2020-08-16,44131,4244200
nation,England,E92000001,2020-08-15,43910,4200069
nation,England,E92000001,2020-08-14,46960,4156159
nation,England,E92000001,2020-08-13,51213,4108012
nation,England,E92000001,2020-08-12,48577,4055191
nation,England,E92000001,2020-08-11,37439,4006483
nation,England,E92000001,2020-08-10,35164,3968780
nation,England,E92000001,2020-08-09,42524,3933080
nation,England,E92000001,2020-08-08,47294,3890556
nation,England,E92000001,2020-08-07,50660,3843262
nation,England,E92000001,2020-08-06,51326,3791875
nation,England,E92000001,2020-08-05,48494,3739557
nation,England,E92000001,2020-08-04,37701,3690367
nation,England,E92000001,2020-08-03,35388,3652666
nation,England,E92000001,2020-08-02,39775,3616051
nation,England,E92000001,2020-08-01,43534,3576276
nation,England,E92000001,2020-07-31,46212,3532742
nation,England,E92000001,2020-07-30,47809,3486169
nation,England,E92000001,2020-07-29,46612,3438173
nation,England,E92000001,2020-07-28,35561,3391561
nation,England,E92000001,2020-07-27,32168,3356000
nation,England,E92000001,2020-07-26,39428,3321809
nation,England,E92000001,2020-07-25,41348,3282381
nation,England,E92000001,2020-07-24,42971,3240459
nation,England,E92000001,2020-07-23,46700,3197488
nation,England,E92000001,2020-07-22,45084,3150788
nation,England,E92000001,2020-07-21,35450,3105704
nation,England,E92000001,2020-07-20,31799,3069276
nation,England,E92000001,2020-07-19,36825,3037477
nation,England,E92000001,2020-07-18,42077,3000652
nation,England,E92000001,2020-07-17,42297,2958135
nation,England,E92000001,2020-07-16,45695,2915539
nation,England,E92000001,2020-07-15,45491,2866358
nation,England,E92000001,2020-07-14,33719,2820401
nation,England,E92000001,2020-07-13,27553,2786693
nation,England,E92000001,2020-07-12,39995,2758763
nation,England,E92000001,2020-07-11,41164,2718768
nation,England,E92000001,2020-07-10,39479,2677501
nation,England,E92000001,2020-07-09,43323,2637842
nation,England,E92000001,2020-07-08,41250,2594699
nation,England,E92000001,2020-07-07,33708,2553449
nation,England,E92000001,2020-07-06,28813,2519741
nation,England,E92000001,2020-07-05,34156,2490207
nation,England,E92000001,2020-07-04,39783,2455922
nation,England,E92000001,2020-07-03,39436,2415884
nation,England,E92000001,2020-07-02,42102,2376485
nation,England,E92000001,2020-07-01,40093,2334014
nation,England,E92000001,2020-06-30,31973,2293944
nation,England,E92000001,2020-06-29,23778,2259597
nation,England,E92000001,2020-06-28,33290,2235059
nation,England,E92000001,2020-06-27,36221,2201769
nation,England,E92000001,2020-06-26,33782,2165548
nation,England,E92000001,2020-06-25,35870,2111324
nation,England,E92000001,2020-06-24,38095,2075454
nation,England,E92000001,2020-06-23,29893,2037359
nation,England,E92000001,2020-06-22,23187,2007119
nation,England,E92000001,2020-06-21,28203,1983749
nation,England,E92000001,2020-06-20,34530,1955264
nation,England,E92000001,2020-06-19,33806,1920734
nation,England,E92000001,2020-06-18,35097,1883058
nation,England,E92000001,2020-06-17,35300,1847961
nation,England,E92000001,2020-06-16,28149,1812661
nation,England,E92000001,2020-06-15,23632,1784512
nation,England,E92000001,2020-06-14,30577,1760028
nation,England,E92000001,2020-06-13,30837,1728596
nation,England,E92000001,2020-06-12,31130,1696954
nation,England,E92000001,2020-06-11,34290,1664564
nation,England,E92000001,2020-06-10,35187,1630199
nation,England,E92000001,2020-06-09,25035,1595012
nation,England,E92000001,2020-06-08,23540,1569977
nation,England,E92000001,2020-06-07,27694,1546327
nation,England,E92000001,2020-06-06,29469,1518181
nation,England,E92000001,2020-06-05,30907,1487742
nation,England,E92000001,2020-06-04,31443,1456835
nation,England,E92000001,2020-06-03,30828,1425263
nation,England,E92000001,2020-06-02,23240,1394048
nation,England,E92000001,2020-06-01,21332,1370849
nation,England,E92000001,2020-05-31,24823,1349517
nation,England,E92000001,2020-05-30,30139,1324691
nation,England,E92000001,2020-05-29,29609,1294552
nation,England,E92000001,2020-05-28,29148,1264942
nation,England,E92000001,2020-05-27,22511,1235794
nation,England,E92000001,2020-05-26,19845,1213107
nation,England,E92000001,2020-05-25,19911,1193261
nation,England,E92000001,2020-05-24,25548,1173347
nation,England,E92000001,2020-05-23,28480,1147802
